0:age=11 num=277777788888899
1:age=11 num=27777789999999999
2:age=10 num=3778888999
3:age=10 num=3888888888889
4:age=9 num=34888999
5:age=9 num=7777788999
6:age=9 num=377788888889
7:age=9 num=27777777777779
8:age=9 num=37777777788899
9:age=8 num=2799999
10:age=8 num=3477889
11:age=8 num=6888999
12:age=8 num=6999999
13:age=8 num=27899999
14:age=8 num=77788899
15:age=8 num=37889999999999999
16:age=8 num=88888888999999999
17:age=7 num=68889
18:age=7 num=347799
19:age=7 num=377779
20:age=7 num=377779
21:age=7 num=377889
22:age=7 num=888888888
23:age=7 num=27777888999
24:age=7 num=34777777899
25:age=7 num=47788888889
26:age=7 num=279999999999
27:age=7 num=2777888889999
28:age=7 num=4777777778999
29:age=7 num=77777788888888999
30:age=6 num=6788
31:age=6 num=49999
32:age=6 num=67788
33:age=6 num=477789
34:age=6 num=777899
35:age=6 num=888888
36:age=6 num=888899
37:age=6 num=3477799
38:age=6 num=3777899
39:age=6 num=3788888
40:age=6 num=6888889
41:age=6 num=7889999
42:age=6 num=37777888
43:age=6 num=37778888
44:age=6 num=47777888
45:age=6 num=47899999
46:age=6 num=277777889
47:age=6 num=388888999
48:age=6 num=477777799
49:age=6 num=678888899
